"ASIN","Country Code","Product Title","Product Review URL","Review Rating","Review Date","Reviewer URL","Reviewer Name","Reviewer ID","Review Title","Review Text","Verified Review","Variation ASIN","Deleted","Style"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R3OH1YIHRNK9SU","5.0","2019-08-02","https://www.amazon.in/gp/profile/amzn1.account.AGVVC4ZVVW5IXOIRORAPTPZNDA3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Nitin Kumar Varma","AGVVC4ZVVW5IXOIRORAPTPZNDA3A","Good","Good","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R2K7F9P9XPVEL7","5.0","2019-08-01","https://www.amazon.in/gp/profile/amzn1.account.AEDG3KW35G46TJHITJ5W2IAATCUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Suniti","AEDG3KW35G46TJHITJ5W2IAATCUQ","Good buy","Its good for basic needs like internet surfing and watching movies. Good buy at this price.","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R29NJ7EREY97EN","4.0","2019-08-01","https://www.amazon.in/gp/profile/amzn1.account.AHX37S5YHOPN3J6FICGWCMUTA25A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Manish kumar","AHX37S5YHOPN3J6FICGWCMUTA25A","Good Lappy","Good for day to day task 👍,don't except much","Yes","B07H38T3PG","Not Deleted","Ryzen 3"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R1HUZD0P974B76","1.0","2019-08-01","https://www.amazon.in/gp/profile/amzn1.account.AG27KKTANLZG3QXNHXDND6FEGS2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Shiv Oraon","AG27KKTANLZG3QXNHXDND6FEGS2Q","Hanging issue","Very bad performance plz don't buy it..","Yes","B07H38T3PG","Not Deleted","Ryzen 3"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R1Z5BPC25WNLFH","5.0","2019-07-31","https://www.amazon.in/gp/profile/amzn1.account.AG2WBO7EH5UIMFWYATANV5Y6XLSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Pranav U.","AG2WBO7EH5UIMFWYATANV5Y6XLSQ","The BEAST","Best thing is it's graphics and sound
and the assistant is like Friday in iron man ... awesome products","Yes","B07HM7GNSZ","Not Deleted","Ryzen 3 + MS Office"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R2MR26EMITE1BF","4.0","2019-07-31","https://www.amazon.in/gp/profile/amzn1.account.AEMBM6I4FJTXGYBGCRHUYUP7Z4IA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Shariff","AEMBM6I4FJTXGYBGCRHUYUP7Z4IA","Worth for Money","It's been an month now s for no issues working fine
Good one you can buy it","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R11J1RS43H4SJD","5.0","2019-07-31","https://www.amazon.in/gp/profile/amzn1.account.AFXTMNTXX4LRYGWTPJOHETKIDMPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Akshay pk","AFXTMNTXX4LRYGWTPJOHETKIDMPA","Good","Nice","Yes","B07HM7GNSZ","Not Deleted","Ryzen 3 + MS Office"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/RBKGARF5W631J","1.0","2019-07-31","https://www.amazon.in/gp/profile/amzn1.account.AHXIEGEG3ZHZTQXYYZPSG6P7RUMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Amazon Customer","AHXIEGEG3ZHZTQXYYZPSG6P7RUMA","Waste product in laptops","Waste product it's not working after two months.
Don't prefer this type of laptops","Yes","B07H38T3PG","Not Deleted","Ryzen 3"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/REE7Y06DFSHRG","3.0","2019-07-31","https://www.amazon.in/gp/profile/amzn1.account.AGR37NEAX5D2NLOMNY4NVZRIRDVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Setty","AGR37NEAX5D2NLOMNY4NVZRIRDVA","Below average","Spped is quite slow
Good for ms-office work only if you have patience.","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R2AQ62PIFK4WHY","5.0","2019-07-30","https://www.amazon.in/gp/profile/amzn1.account.AH7QTPP2Y4K75XLE3Q4WQ2ZMECOA","RAMESH SINGH RAWAT","AH7QTPP2Y4K75XLE3Q4WQ2ZMECOA","GOOD","GOOD","No","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/RIKBXUI2RV66J","4.0","2019-07-30","https://www.amazon.in/gp/profile/amzn1.account.AFR3TWJ3N4J4SMT65CH253NLHMXQ","shashank","AFR3TWJ3N4J4SMT65CH253NLHMXQ","Hp","Good","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R2AD7TBCROBS56","5.0","2019-07-30","https://www.amazon.in/gp/profile/amzn1.account.AFVW2V5KJV2VQ5LETZUMJINKYMVA","Anil Kumar k","AFVW2V5KJV2VQ5LETZUMJINKYMVA","Ok","This is good","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/RNAEJH203O54C","1.0","2019-07-30","https://www.amazon.in/gp/profile/amzn1.account.AGMVRUJEKH427IP432AZGZUPYKWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Kumar kartikeya","AGMVRUJEKH427IP432AZGZUPYKWQ","Not worth for 22-23K","If you can stretch your budget for at least i3. This laptop can't perform even day to day task.","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R3HBO7ZRVRA4L7","3.0","2019-07-29","https://www.amazon.in/gp/profile/amzn1.account.AGP4AY2Y3AT353JNVLZIJS6HIQ5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","pardeep","AGP4AY2Y3AT353JNVLZIJS6HIQ5Q","Average","Like","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R22N89NJY6Y2MD","4.0","2019-07-29","https://www.amazon.in/gp/profile/amzn1.account.AFX2JR37TBDNO2EEALKQMC4NMASQ","Refund nhi hua hai mera abhi tak 23july se aj 29july hogya.. Galti se do order krdi thi... Refund kab hoga","AFX2JR37TBDNO2EEALKQMC4NMASQ","Refund","Good quality product","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R161T2FGY1O02C","3.0","2019-07-29","https://www.amazon.in/gp/profile/amzn1.account.AGCW5G37OOQQN364OVERZW3KMSAQ","Maithry Sridhar","AGCW5G37OOQQN364OVERZW3KMSAQ","Battery not working","Battery not working","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R13FVM3CXTIAIJ","3.0","2019-07-29","https://www.amazon.in/gp/profile/amzn1.account.AFO53EBZURH2DN6OOZWJBAZPGKYA","Niraj Kumar","AFO53EBZURH2DN6OOZWJBAZPGKYA","Good","Processor is very slow","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R1L021RPBG73ZK","5.0","2019-07-29","https://www.amazon.in/gp/profile/amzn1.account.AG52VN5DMKFTLOJSPJV52DBVAQLA","ankur bedi","AG52VN5DMKFTLOJSPJV52DBVAQLA","Good product","Good product","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R2IQMFZK0D7915","4.0","2019-07-29","https://www.amazon.in/gp/profile/amzn1.account.AFPHMAVJE2C3P4KO6CKHKTMTSMUQ","SNEAKY","AFPHMAVJE2C3P4KO6CKHKTMTSMUQ","Not good enough","Not good","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R9WVJQ9SHHYXF","1.0","2019-07-29","https://www.amazon.in/gp/profile/amzn1.account.AGY3P7TKOFD7KV4QASUZWYXX7W6Q","abid khan","AGY3P7TKOFD7KV4QASUZWYXX7W6Q","Extremely below expectations","Working damn slow.
Even can’t use word file . Its very slow.","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R3VM8MUCDCFWT1","4.0","2019-07-29","https://www.amazon.in/gp/profile/amzn1.account.AHXKIQJRFHF4LLHRO3EE6B3WTOKA","M RIZWAN KHAN","AHXKIQJRFHF4LLHRO3EE6B3WTOKA","Slower","Laptop is good but dead slow RAM 4g not enogh.HP should describe required RAM for normal operation.
Only started working for normal use after diabling disk write coach and uninstallatio of virus software provided with laptop.. can use laptop for day to day use. Only RAM upgrade to 8gb wil help laptop to normal.","Yes","B07H38T3PG","Not Deleted","Ryzen 3"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R2QS6E85UUICT2","5.0","2019-07-28","https://www.amazon.in/gp/profile/amzn1.account.AGTJJLGNXBP57OZPYGEO66JL42SQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Riaz","AGTJJLGNXBP57OZPYGEO66JL42SQ","Poor display","Poor display","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R3PHMH0FPLJ663","4.0","2019-07-28","https://www.amazon.in/gp/profile/amzn1.account.AFZ6UGWO5ZRQP5A2QYCWGSWB4ZSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Amazon Customer","AFZ6UGWO5ZRQP5A2QYCWGSWB4ZSA",":)","Overall good buy","Yes","B07HM7GNSZ","Not Deleted","Ryzen 3 + MS Office"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R1MCVBMKTMNOWT","2.0","2019-07-27","https://www.amazon.in/gp/profile/amzn1.account.AENUWS6TFRUXJ3SIOYIQTTLXLPFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Nishanth","AENUWS6TFRUXJ3SIOYIQTTLXLPFQ","Not recommended","Hanging","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/RVX3TKMVIE121","4.0","2019-07-27","https://www.amazon.in/gp/profile/amzn1.account.AH23KIG4DPL2VV2QIP7FAI6R47CA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Madhu","AH23KIG4DPL2VV2QIP7FAI6R47CA","Good","OK Good","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R22OI484CWJUJC","2.0","2019-07-27","https://www.amazon.in/gp/profile/amzn1.account.AGFVKRLL3ETD4GCIP3UGNAJR5B5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Nitin","AGFVKRLL3ETD4GCIP3UGNAJR5B5A","No Warranty!","Not received any warranty card with it..also,Need to purchase MS office separately!","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R2QFT6HCYQKGTR","2.0","2019-07-26","https://www.amazon.in/gp/profile/amzn1.account.AFHWK3IJVYPOOF5KZELAN77YPLSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Ajit Maurya","AFHWK3IJVYPOOF5KZELAN77YPLSQ","Average","On an average laptop.","Yes","B07H38T3PG","Not Deleted","Ryzen 3"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R2SPVSCPG2ZQUN","5.0","2019-07-25","https://www.amazon.in/gp/profile/amzn1.account.AEDRFIXHM72LEVY5AY2DW55YICBA","Pratiksha bokhare","AEDRFIXHM72LEVY5AY2DW55YICBA","Good","Good","Yes","B07H38T3PG","Not Deleted","Ryzen 3"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R1LJLLC4ZR2LIW","5.0","2019-07-25","https://www.amazon.in/gp/profile/amzn1.account.AF5JQCDJDLTNPRBCRCVRYWSCMUAA","PANKAJ KUMAR JHA","AF5JQCDJDLTNPRBCRCVRYWSCMUAA","Very good","Very good","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/RV68GG96OSJY7","3.0","2019-07-25","https://www.amazon.in/gp/profile/amzn1.account.AFE3EMC56BOX4UUCVFWQQSFJVR2A","Rakeshraval","AFE3EMC56BOX4UUCVFWQQSFJVR2A","Good","Thanks","Yes","B07H38T3PG","Not Deleted","Ryzen 3"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R3OA3CRKIVU4T4","4.0","2019-07-25","https://www.amazon.in/gp/profile/amzn1.account.AEFAULP4NJQEHSQNRNVSEI4PEEEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","S K Mishra","AEFAULP4NJQEHSQNRNVSEI4PEEEA","Good products","Use full","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R3ACJGMGZJ7CRM","4.0","2019-07-25","https://www.amazon.in/gp/profile/amzn1.account.AEPTDN3JGCR6PUO2YKVH3MIRJGMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Vesulhu","AEPTDN3JGCR6PUO2YKVH3MIRJGMA","Okay","Okay","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/RDYHEZ31G88WK","5.0","2019-07-25","https://www.amazon.in/gp/profile/amzn1.account.AEKFW5Q4F2ZWSRFDCH7MXY3OSNMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","basilbose","AEKFW5Q4F2ZWSRFDCH7MXY3OSNMQ","Battery backup is low","Low battery backup","Yes","B07H38T3PG","Not Deleted","Ryzen 3"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R3V7UTVSXWXAZX","5.0","2019-07-24","https://www.amazon.in/gp/profile/amzn1.account.AHLY6ZVET5EOHI4PZHRFMLSM7NNQ","Amazon Customer","AHLY6ZVET5EOHI4PZHRFMLSM7NNQ","BEST IN BUDGET","Good laptop, go 4 it.","Yes","B07H38T3PG","Not Deleted","Ryzen 3"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R2RRTWS0TZNCN2","3.0","2019-07-24","https://www.amazon.in/gp/profile/amzn1.account.AHL7L4R2ZGBZVYFAJVN3KTL4CXPA","Amazon Customer","AHL7L4R2ZGBZVYFAJVN3KTL4CXPA","Good budge laptop","OK for budget laptop","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R1LI391Q4QY1LZ","2.0","2019-07-24","https://www.amazon.in/gp/profile/amzn1.account.AHFPBHPOVNKTOF7ZISCGUVI6H4UA","suneet kumar","AHFPBHPOVNKTOF7ZISCGUVI6H4UA","Not so good as i expected","Battery drain very fast","Yes","B07HM7GNSZ","Not Deleted","Ryzen 3 + MS Office"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/RAJM58Q2APCP4","4.0","2019-07-23","https://www.amazon.in/gp/profile/amzn1.account.AFR6WS6QN6Y3JQ6SYBM5DWEFLKHA","Ashok D'cruz","AFR6WS6QN6Y3JQ6SYBM5DWEFLKHA","Average","Not good as expected","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/RT3GXOH8PD77Q","5.0","2019-07-23","https://www.amazon.in/gp/profile/amzn1.account.AE3WBQETSGCEWE76K6DI6MNGQVTQ","AANAND RANJAN","AE3WBQETSGCEWE76K6DI6MNGQVTQ","Good","Good","Yes","B07FC6S8J7","Not Deleted","AMD E2"
